Species,r_value,p_value,stError,euclidean,distribution
Streptococcus pneumoniae,0.9846,0.0,0.0,0.03,uniform
Fusobacterium nucleatum,0.9852,0.0,0.0,0.009,uniform
Porphyromonas gingivalis,0.995,0.0,0.0,0.026,uniform
Bacteroides thetaiotaomicron,0.9805,0.0,0.0,0.135,uniform
Treponema denticola,0.9856,0.0,0.0,0.028,uniform
Bacteroides fragilis,0.9873,0.0,0.0,0.241,uniform
Lactobacillus fermentum,0.9945,0.0,0.0,0.499,uniform
Streptococcus intermedius,0.6719,0.0,1e-05,0.07,uniform
Rothia mucilaginosa,0.9826,0.0,0.0,0.027,uniform
Chryseobacterium sp,0.9982,0.0,0.0,0.453,uniform
Fischerella sp,0.992,0.0,0.0,0.303,uniform
Mucilaginibacter gotjawali,0.996,0.0,0.0,0.442,uniform
Filimonas lacunae,0.9816,0.0,0.0,0.264,uniform
Actinomyces naeslundii,0.9968,0.0,0.0,0.005,uniform
Rothia aeria,0.9151,0.0,0.0,0.065,uniform
Marinifilaceae bacterium,0.9989,0.0,0.0,0.422,uniform
Streptococcus thermophilus,0.9873,0.0,0.0,0.02,uniform
Haemophilus influenzae,0.9764,0.0,0.0,0.053,uniform
Anabaena variabilis,0.9774,0.0,1e-05,0.441,uniform
Bacteroides vulgatus,0.9936,0.0,0.0,0.39,uniform
Streptococcus sanguinis,0.9744,0.0,0.0,0.036,uniform
Trichodesmium erythraeum,0.9981,0.0,0.0,0.151,uniform
Clostridium beijerinckii,0.9952,0.0,0.0,0.415,uniform
Streptococcus gordonii,0.9759,0.0,0.0,0.009,uniform
Campylobacter concisus,0.9542,0.0,0.0,0.068,uniform
Lachnoclostridium phytofermentans,0.9806,0.0,0.0,0.337,uniform
Nostoc punctiforme,0.9886,0.0,0.0,0.191,uniform
Ralstonia pickettii,0.9841,0.0,0.0,0.062,uniform
Leptotrichia buccalis,0.9962,0.0,0.0,0.343,uniform
Catenulispora acidiphila,0.9943,0.0,0.0,0.41,uniform
Atopobium parvulum,0.9937,0.0,0.0,0.04,uniform
Spirosoma linguale,0.9882,0.0,0.0,0.449,uniform
Veillonella parvula,0.978,0.0,0.0,0.029,uniform
Prevotella ruminicola,0.9906,0.0,0.0,0.074,uniform
Streptomyces bingchenggensis,0.9419,0.0,1e-05,0.496,uniform
Prevotella melaninogenica,0.9808,0.0,0.0,0.035,uniform
Clostridium cellulovorans,0.9856,0.0,0.0,0.279,uniform
Rothia dentocariosa,0.9939,0.0,0.0,0.025,uniform
Bacteroides helcogenes,0.9951,0.0,0.0,0.416,uniform
Filifactor alocis,0.9886,0.0,0.0,0.028,uniform
Cellulophaga algicola,0.9802,0.0,1e-05,0.478,uniform
Bacteroides salanitronis,0.9888,0.0,0.0,0.393,uniform
Fluviicola taffensis,0.9762,0.0,0.0,0.395,uniform
Odoribacter splanchnicus,0.9976,0.0,0.0,0.472,uniform
