Species,r_value,p_value,stError,euclidean,distribution
Clostridium acetobutylicum,0.9542,0.0,0.0,0.031,uniform
Neisseria meningitidis,0.9916,0.0,0.0,0.028,uniform
Vibrio cholerae,0.9905,0.0,0.0,0.395,uniform
Pseudomonas aeruginosa,0.8291,0.0,2e-05,0.234,uniform
Streptococcus pyogenes,0.9925,0.0,0.0,0.091,uniform
Pasteurella multocida,0.8018,0.0,2e-05,0.123,uniform
Neisseria gonorrhoeae,0.9773,0.0,0.0,0.028,uniform
Lactococcus lactis,0.9414,0.0,1e-05,0.106,uniform
Streptococcus pneumoniae,0.8742,0.0,0.0,0.029,uniform
Salmonella enterica,0.9442,0.0,1e-05,0.233,uniform
Thermoanaerobacter tengcongensis,0.9592,0.0,1e-05,0.217,uniform
Streptococcus agalactiae,0.9148,0.0,1e-05,0.038,uniform
Fusobacterium nucleatum,0.9945,0.0,0.0,0.009,uniform
Yersinia pestis,0.9966,0.0,0.0,0.368,uniform
Streptococcus mutans,0.8988,0.0,1e-05,0.061,uniform
Shewanella oneidensis,0.9017,0.0,1e-05,0.105,uniform
Pseudomonas putida,0.9828,0.0,0.0,0.477,uniform
Porphyromonas gingivalis,0.9216,0.0,0.0,0.029,uniform
Clostridium tetani,0.9507,0.0,0.0,0.058,uniform
Bacteroides thetaiotaomicron,0.9415,0.0,0.0,0.009,uniform
Staphylococcus epidermidis,0.9791,0.0,0.0,0.124,uniform
Leptospira interrogans,0.903,0.0,1e-05,0.053,uniform
Mannheimia succiniciproducens,0.9648,0.0,1e-05,0.23,uniform
Enterococcus faecalis,0.9852,0.0,0.0,0.015,uniform
Pseudomonas syringae,0.9469,0.0,1e-05,0.153,uniform
Bacillus cereus,0.9824,0.0,0.0,0.055,uniform
Bacillus anthracis,0.9691,0.0,0.0,0.048,uniform
Helicobacter hepaticus,0.9928,0.0,0.0,0.38,uniform
Lactobacillus johnsonii,0.9642,0.0,0.0,0.166,uniform
Treponema denticola,0.979,0.0,0.0,0.107,uniform
Listeria monocytogenes,0.992,0.0,0.0,0.093,uniform
Bacillus licheniformis,0.6058,0.0,8e-05,0.139,uniform
Legionella pneumophila,0.9681,0.0,0.0,0.124,uniform
Bacillus thuringiensis,0.9957,0.0,0.0,0.067,uniform
Staphylococcus aureus,0.9848,0.0,0.0,0.068,uniform
Bacillus subtilis,0.9903,0.0,0.0,0.188,uniform
Campylobacter jejuni,0.9696,0.0,1e-05,0.447,uniform
Listeria innocua,0.9667,0.0,0.0,0.057,uniform
Streptomyces coelicolor,0.9943,0.0,0.0,0.248,uniform
Clostridium difficile,0.9986,0.0,0.0,0.073,uniform
Pseudomonas fluorescens,0.9824,0.0,0.0,0.134,uniform
Rhizobium leguminosarum,0.9397,0.0,1e-05,0.484,uniform
Bartonella tribocorum,0.7241,0.0,5e-05,0.385,uniform
Listeria welshimeri,0.9948,0.0,0.0,0.121,uniform
Yersinia enterocolitica,0.9649,0.0,1e-05,0.206,uniform
Staphylococcus carnosus,0.9519,0.0,0.0,0.068,uniform
Flavobacterium psychrophilum,0.982,0.0,0.0,0.096,uniform
Saccharopolyspora erythraea,0.9611,0.0,0.0,0.11,uniform
Sorangium cellulosum,0.8917,0.0,0.0,0.028,uniform
Bordetella petrii,0.9681,0.0,1e-05,0.39,uniform
Proteus mirabilis,0.9373,0.0,0.0,0.087,uniform
Streptococcus uberis,0.9765,0.0,0.0,0.069,uniform
Nocardia farcinica,0.9866,0.0,0.0,0.262,uniform
Bacillus clausii,0.5746,0.0,5e-05,0.056,uniform
Staphylococcus haemolyticus,0.9383,0.0,1e-05,0.102,uniform
Klebsiella pneumoniae,0.9772,0.0,0.0,0.261,uniform
Bacteroides fragilis,0.9714,0.0,0.0,0.009,uniform
Desulfitobacterium hafniense,0.9041,0.0,0.0,0.044,uniform
Sodalis glossinidius,0.8279,0.0,4e-05,0.308,uniform
Staphylococcus saprophyticus,0.9471,0.0,0.0,0.061,uniform
Brevibacillus brevis,0.9698,0.0,0.0,0.039,uniform
Rhodococcus erythropolis,0.9776,0.0,0.0,0.105,uniform
Finegoldia magna,0.9703,0.0,0.0,0.165,uniform
Clostridium kluyveri,0.9571,0.0,0.0,0.034,uniform
Gemmatimonas aurantiaca,0.9225,0.0,1e-05,0.445,uniform
Nitratiruptor sp,0.9753,0.0,1e-05,0.467,uniform
Sulfurovum sp,0.9849,0.0,0.0,0.417,uniform
Lactococcus garvieae,0.9781,0.0,1e-05,0.177,uniform
Azorhizobium caulinodans,0.9458,0.0,1e-05,0.368,uniform
Macrococcus caseolyticus,0.9904,0.0,0.0,0.295,uniform
