Species,r_value,p_value,stError,euclidean,distribution
Clostridium acetobutylicum,0.9383,0.0,0.0,0.074,uniform
Neisseria meningitidis,0.9497,0.0,0.0,0.028,uniform
Pasteurella multocida,0.9187,0.0,2e-05,0.397,uniform
Neisseria gonorrhoeae,0.9533,0.0,0.0,0.029,uniform
Lactococcus lactis,0.8774,0.0,2e-05,0.296,uniform
Streptococcus pneumoniae,0.9873,0.0,0.0,0.03,uniform
Salmonella enterica,0.9768,0.0,1e-05,0.462,uniform
Thermoanaerobacter tengcongensis,0.8896,0.0,2e-05,0.448,uniform
Streptococcus agalactiae,0.8599,0.0,1e-05,0.104,uniform
Fusobacterium nucleatum,0.9814,0.0,0.0,0.022,uniform
Streptococcus mutans,0.8623,0.0,2e-05,0.311,uniform
Shewanella oneidensis,0.9837,0.0,0.0,0.159,uniform
Pseudomonas putida,0.9773,0.0,1e-05,0.396,uniform
Porphyromonas gingivalis,0.9589,0.0,1e-05,0.119,uniform
Clostridium tetani,0.9641,0.0,1e-05,0.191,uniform
Bacteroides thetaiotaomicron,0.9561,0.0,0.0,0.029,uniform
Staphylococcus epidermidis,0.9774,0.0,1e-05,0.44,uniform
Leptospira interrogans,0.9806,0.0,0.0,0.122,uniform
Mannheimia succiniciproducens,0.9631,0.0,1e-05,0.322,uniform
Enterococcus faecalis,0.989,0.0,0.0,0.156,uniform
Bacillus cereus,0.9738,0.0,0.0,0.089,uniform
Bacillus anthracis,0.9978,0.0,0.0,0.111,uniform
Treponema denticola,0.9497,0.0,1e-05,0.177,uniform
Listeria monocytogenes,0.984,0.0,0.0,0.429,uniform
Legionella pneumophila,0.9785,0.0,0.0,0.344,uniform
Bacillus thuringiensis,0.9283,0.0,1e-05,0.188,uniform
Staphylococcus aureus,0.9867,0.0,0.0,0.238,uniform
Bacillus subtilis,0.9339,0.0,1e-05,0.434,uniform
Listeria innocua,0.9805,0.0,0.0,0.299,uniform
Streptomyces coelicolor,0.9531,0.0,1e-05,0.396,uniform
Clostridium difficile,0.9916,0.0,0.0,0.266,uniform
Pseudomonas fluorescens,0.9906,0.0,0.0,0.46,uniform
Listeria welshimeri,0.9761,0.0,1e-05,0.365,uniform
Yersinia enterocolitica,0.992,0.0,0.0,0.486,uniform
Staphylococcus carnosus,0.948,0.0,1e-05,0.316,uniform
Flavobacterium psychrophilum,0.9917,0.0,0.0,0.263,uniform
Saccharopolyspora erythraea,0.977,0.0,0.0,0.241,uniform
Sorangium cellulosum,0.8835,0.0,1e-05,0.069,uniform
Bordetella petrii,0.9861,0.0,0.0,0.442,uniform
Proteus mirabilis,0.9528,0.0,1e-05,0.129,uniform
Streptococcus uberis,0.9667,0.0,1e-05,0.425,uniform
Bacillus clausii,0.9928,0.0,0.0,0.289,uniform
Staphylococcus haemolyticus,0.9859,0.0,0.0,0.31,uniform
Bacteroides fragilis,0.899,0.0,1e-05,0.028,uniform
Lactobacillus reuteri,0.9952,0.0,0.0,0.031,uniform
Desulfitobacterium hafniense,0.9754,0.0,0.0,0.081,uniform
Staphylococcus saprophyticus,0.9927,0.0,0.0,0.285,uniform
Brevibacillus brevis,0.8984,0.0,1e-05,0.092,uniform
Rhodococcus erythropolis,0.9582,0.0,1e-05,0.281,uniform
Finegoldia magna,0.8485,0.0,2e-05,0.38,uniform
Clostridium kluyveri,0.9414,0.0,1e-05,0.179,uniform
Lactococcus garvieae,0.9459,0.0,1e-05,0.416,uniform
Macrococcus caseolyticus,0.9697,0.0,1e-05,0.453,uniform
Streptomyces griseus,0.9885,0.0,0.0,0.362,uniform
Microcystis aeruginosa,0.95,0.0,1e-05,0.178,uniform
Streptococcus dysgalactiae,0.9986,0.0,0.0,0.387,uniform
Kitasatospora setae,0.983,0.0,0.0,0.266,uniform
Streptococcus intermedius,0.9882,0.0,0.0,0.02,uniform
Rhodococcus opacus,0.9727,0.0,1e-05,0.385,uniform
Shewanella violacea,0.8982,0.0,1e-05,0.307,uniform
Deferribacter desulfuricans,0.933,0.0,1e-05,0.373,uniform
Rothia mucilaginosa,0.9707,0.0,0.0,0.029,uniform
Tetragenococcus halophilus,0.9609,0.0,1e-05,0.316,uniform
Arcobacter sp,0.9383,0.0,1e-05,0.129,uniform
Amphibacillus xylanus,0.9892,0.0,0.0,0.272,uniform
Streptococcus pasteurianus,0.9353,0.0,1e-05,0.243,uniform
Solibacillus silvestris,0.8901,0.0,1e-05,0.138,uniform
Bradyrhizobium japonicum,0.9478,0.0,1e-05,0.224,uniform
Selenomonas ruminantium,0.9507,0.0,1e-05,0.335,uniform
Actinoplanes missouriensis,0.9442,0.0,1e-05,0.186,uniform
Caldilinea aerophila,0.9831,0.0,0.0,0.497,uniform
Enterococcus mundtii,0.9713,0.0,1e-05,0.302,uniform
Winogradskyella sp,0.9391,0.0,0.0,0.081,uniform
Streptococcus troglodytae,0.9914,0.0,0.0,0.321,uniform
Chryseobacterium sp,0.9311,0.0,0.0,0.056,uniform
Acinetobacter guillouiae,0.9848,0.0,0.0,0.162,uniform
Thioploca ingrica,0.9724,0.0,0.0,0.156,uniform
Vibrio tritonius,0.9869,0.0,0.0,0.351,uniform
Leptolyngbya boryana,0.9834,0.0,0.0,0.096,uniform
Geminocystis sp,0.9611,0.0,0.0,0.115,uniform
Lysobacter enzymogenes,0.9364,0.0,1e-05,0.401,uniform
Fischerella sp,0.9301,0.0,0.0,0.077,uniform
Mucilaginibacter gotjawali,0.9898,0.0,0.0,0.059,uniform
