Species,r_value,p_value,stError,euclidean,distribution
Helicobacter pylori,0.9904,0.0,0.0,0.499,uniform
Clostridium acetobutylicum,0.94,0.0,0.0,0.016,uniform
Neisseria meningitidis,0.9711,0.0,0.0,0.027,uniform
Xylella fastidiosa,0.9437,0.0,1e-05,0.356,uniform
Vibrio cholerae,0.8611,0.0,2e-05,0.167,uniform
Pseudomonas aeruginosa,0.7127,0.0,3e-05,0.099,uniform
Streptococcus pyogenes,0.9409,0.0,1e-05,0.076,uniform
Pasteurella multocida,0.7765,0.0,1e-05,0.026,uniform
Neisseria gonorrhoeae,0.96,0.0,0.0,0.029,uniform
Lactococcus lactis,0.9577,0.0,0.0,0.034,uniform
Streptococcus pneumoniae,0.8643,0.0,1e-05,0.029,uniform
Caulobacter crescentus,0.9873,0.0,0.0,0.474,uniform
Salmonella enterica,0.9764,0.0,0.0,0.074,uniform
Thermoanaerobacter tengcongensis,0.6627,0.0,3e-05,0.119,uniform
Zymomonas mobilis,0.9033,0.0,2e-05,0.357,uniform
Xanthomonas campestris,0.9457,0.0,1e-05,0.173,uniform
Streptococcus agalactiae,0.8247,0.0,1e-05,0.03,uniform
Fusobacterium nucleatum,0.9652,0.0,0.0,0.028,uniform
Yersinia pestis,0.9924,0.0,0.0,0.159,uniform
Xanthomonas oryzae,0.784,0.0,3e-05,0.385,uniform
Streptococcus mutans,0.8703,0.0,0.0,0.027,uniform
Shewanella oneidensis,0.9921,0.0,0.0,0.068,uniform
Pseudomonas putida,0.9944,0.0,0.0,0.146,uniform
Porphyromonas gingivalis,0.734,0.0,1e-05,0.039,uniform
Clostridium tetani,0.9842,0.0,0.0,0.026,uniform
Bacteroides thetaiotaomicron,0.8936,0.0,0.0,0.003,uniform
Staphylococcus epidermidis,0.9387,0.0,0.0,0.056,uniform
Leptospira interrogans,0.9728,0.0,0.0,0.027,uniform
Chromobacterium violaceum,0.9878,0.0,0.0,0.134,uniform
Mannheimia succiniciproducens,0.9544,0.0,0.0,0.025,uniform
Coxiella burnetii,0.987,0.0,0.0,0.396,uniform
Enterococcus faecalis,0.9462,0.0,0.0,0.02,uniform
Pseudomonas syringae,0.7955,0.0,2e-05,0.102,uniform
Bacillus cereus,0.9433,0.0,0.0,0.016,uniform
Bacillus anthracis,0.9925,0.0,0.0,0.02,uniform
Mycobacterium avium,0.9206,0.0,2e-05,0.41,uniform
Helicobacter hepaticus,0.9899,0.0,0.0,0.338,uniform
Prochlorococcus marinus,0.9892,0.0,0.0,0.356,uniform
Haemophilus ducreyi,0.9501,0.0,1e-05,0.089,uniform
Geobacter sulfurreducens,0.9927,0.0,0.0,0.348,uniform
Lactobacillus johnsonii,0.9727,0.0,0.0,0.099,uniform
Treponema denticola,0.8226,0.0,2e-05,0.073,uniform
Listeria monocytogenes,0.9304,0.0,0.0,0.054,uniform
Bacillus licheniformis,0.9712,0.0,0.0,0.063,uniform
Idiomarina loihiensis,0.6924,0.0,5e-05,0.197,uniform
Legionella pneumophila,0.9703,0.0,0.0,0.055,uniform
Bacillus thuringiensis,0.973,0.0,0.0,0.023,uniform
Staphylococcus aureus,0.9576,0.0,0.0,0.051,uniform
Bacillus subtilis,0.8496,0.0,1e-05,0.068,uniform
Campylobacter jejuni,0.8563,0.0,1e-05,0.262,uniform
Sinorhizobium meliloti,0.9622,0.0,1e-05,0.352,uniform
Listeria innocua,0.9216,0.0,0.0,0.043,uniform
Streptomyces coelicolor,0.9664,0.0,0.0,0.096,uniform
Ralstonia solanacearum,0.9586,0.0,1e-05,0.324,uniform
Nitrosomonas europaea,0.9586,0.0,1e-05,0.255,uniform
Bordetella avium,0.9864,0.0,0.0,0.368,uniform
Lawsonia intracellularis,0.9845,0.0,1e-05,0.437,uniform
Clostridium difficile,0.9953,0.0,0.0,0.041,uniform
Pseudomonas fluorescens,0.8097,0.0,1e-05,0.057,uniform
Rhizobium leguminosarum,0.8753,0.0,2e-05,0.239,uniform
Ralstonia eutropha,0.9831,0.0,0.0,0.28,uniform
