Species,r_value,p_value,stError,euclidean,distribution
Clostridium acetobutylicum,0.9492,0.0,1e-05,0.169,uniform
Neisseria meningitidis,0.9851,0.0,0.0,0.028,uniform
Pseudomonas aeruginosa,0.973,0.0,0.0,0.408,uniform
Pasteurella multocida,0.9976,0.0,0.0,0.396,uniform
Neisseria gonorrhoeae,0.968,0.0,0.0,0.029,uniform
Streptococcus pneumoniae,0.9956,0.0,0.0,0.029,uniform
Streptococcus agalactiae,0.9972,0.0,0.0,0.384,uniform
Fusobacterium nucleatum,0.9826,0.0,0.0,0.011,uniform
Streptococcus mutans,0.9958,0.0,0.0,0.03,uniform
Porphyromonas gingivalis,0.9971,0.0,0.0,0.457,uniform
Clostridium tetani,0.9861,0.0,0.0,0.418,uniform
Bacteroides thetaiotaomicron,0.9921,0.0,0.0,0.093,uniform
Leptospira interrogans,0.9874,0.0,0.0,0.356,uniform
Mannheimia succiniciproducens,0.9887,0.0,0.0,0.453,uniform
Enterococcus faecalis,0.9753,0.0,1e-05,0.216,uniform
Haemophilus ducreyi,0.9982,0.0,0.0,0.175,uniform
Clostridium difficile,0.9638,0.0,1e-05,0.409,uniform
Saccharopolyspora erythraea,0.9986,0.0,0.0,0.384,uniform
Sorangium cellulosum,0.9915,0.0,0.0,0.087,uniform
Staphylococcus haemolyticus,0.9352,0.0,1e-05,0.479,uniform
Bacteroides fragilis,0.9917,0.0,0.0,0.139,uniform
Brevibacillus brevis,0.928,0.0,1e-05,0.29,uniform
Clostridium kluyveri,0.9928,0.0,0.0,0.156,uniform
Microcystis aeruginosa,0.9984,0.0,0.0,0.4,uniform
Kitasatospora setae,0.9979,0.0,0.0,0.279,uniform
Streptococcus intermedius,0.9541,0.0,0.0,0.011,uniform
Rothia mucilaginosa,0.983,0.0,0.0,0.028,uniform
Arcobacter sp,0.999,0.0,0.0,0.475,uniform
Solibacillus silvestris,0.9926,0.0,0.0,0.388,uniform
Bradyrhizobium japonicum,0.9971,0.0,0.0,0.342,uniform
Parascardovia denticolens,0.9972,0.0,0.0,0.447,uniform
Scardovia inopinata,0.9729,0.0,1e-05,0.415,uniform
Bradyrhizobium oligotrophicum,0.9948,0.0,0.0,0.324,uniform
Enterococcus mundtii,0.9985,0.0,0.0,0.377,uniform
Winogradskyella sp,0.9304,0.0,1e-05,0.307,uniform
Streptococcus troglodytae,0.995,0.0,0.0,0.265,uniform
Chryseobacterium sp,0.9931,0.0,0.0,0.169,uniform
Acinetobacter guillouiae,0.9982,0.0,0.0,0.459,uniform
Thioploca ingrica,0.9902,0.0,0.0,0.305,uniform
Leptolyngbya boryana,0.9728,0.0,0.0,0.32,uniform
Geminocystis sp,0.9984,0.0,0.0,0.406,uniform
Fischerella sp,0.9845,0.0,0.0,0.189,uniform
Mucilaginibacter gotjawali,0.9936,0.0,0.0,0.325,uniform
Stanieria sp,0.9955,0.0,0.0,0.179,uniform
Filimonas lacunae,0.9973,0.0,0.0,0.081,uniform
Actinomyces naeslundii,0.995,0.0,0.0,0.02,uniform
Rothia aeria,0.9916,0.0,0.0,0.024,uniform
Fusobacterium varium,0.9847,0.0,0.0,0.16,uniform
Petrimonas sp,0.9381,0.0,1e-05,0.477,uniform
Marinifilaceae bacterium,0.9978,0.0,0.0,0.116,uniform
Chondrocystis sp,0.9875,0.0,0.0,0.294,uniform
Mesorhizobium loti,0.9792,0.0,0.0,0.363,uniform
Nostoc sp,0.9977,0.0,0.0,0.246,uniform
Oceanobacillus iheyensis,0.9472,0.0,1e-05,0.286,uniform
Streptomyces avermitilis,0.9601,0.0,1e-05,0.327,uniform
Bradyrhizobium diazoefficiens,0.983,0.0,0.0,0.281,uniform
Rhodopirellula baltica,0.9964,0.0,0.0,0.314,uniform
Streptococcus thermophilus,0.9971,0.0,0.0,0.035,uniform
Haemophilus influenzae,0.9943,0.0,0.0,0.033,uniform
Pseudomonas protegens,0.9832,0.0,0.0,0.437,uniform
Colwellia psychrerythraea,0.9925,0.0,0.0,0.218,uniform
Myxococcus xanthus,0.9979,0.0,0.0,0.155,uniform
Anabaena variabilis,0.9867,0.0,0.0,0.202,uniform
Bacteroides vulgatus,0.9948,0.0,0.0,0.226,uniform
Parabacteroides distasonis,0.9905,0.0,0.0,0.337,uniform
Saccharophagus degradans,0.9857,0.0,0.0,0.391,uniform
Cytophaga hutchinsonii,0.9903,0.0,0.0,0.281,uniform
Streptococcus sanguinis,0.9796,0.0,0.0,0.026,uniform
Trichodesmium erythraeum,0.9992,0.0,0.0,0.127,uniform
Streptococcus suis,0.9937,0.0,0.0,0.282,uniform
Shewanella frigidimarina,0.9927,0.0,0.0,0.498,uniform
Shewanella piezotolerans,0.9856,0.0,0.0,0.416,uniform
Candidatus Solibacter,0.9972,0.0,0.0,0.367,uniform
Bradyrhizobium sp,0.9965,0.0,0.0,0.491,uniform
Psychromonas ingrahamii,0.9052,0.0,1e-05,0.401,uniform
Shewanella baltica,0.9904,0.0,0.0,0.33,uniform
Ruminiclostridium thermocellum,0.9761,0.0,0.0,0.495,uniform
Actinobacillus pleuropneumoniae,0.9946,0.0,0.0,0.045,uniform
Flavobacterium johnsoniae,0.9855,0.0,0.0,0.076,uniform
Clostridium beijerinckii,0.9792,0.0,0.0,0.091,uniform
Alkaliphilus metalliredigens,0.9837,0.0,0.0,0.338,uniform
Streptococcus gordonii,0.9944,0.0,0.0,0.028,uniform
Clostridium botulinum,0.9929,0.0,0.0,0.181,uniform
Marinomonas sp,0.9173,0.0,1e-05,0.222,uniform
Bacillus cytotoxicus,0.9863,0.0,0.0,0.493,uniform
Campylobacter concisus,0.9928,0.0,0.0,0.032,uniform
Cyanothece sp,0.9935,0.0,0.0,0.37,uniform
Lysinibacillus sphaericus,0.9938,0.0,0.0,0.489,uniform
Frankia sp,0.9898,0.0,0.0,0.189,uniform
Shewanella sediminis,0.9883,0.0,0.0,0.443,uniform
Acaryochloris marina,0.987,0.0,0.0,0.317,uniform
Alkaliphilus oremlandii,0.986,0.0,0.0,0.487,uniform
Herpetosiphon aurantiacus,0.9985,0.0,0.0,0.24,uniform
Lachnoclostridium phytofermentans,0.9934,0.0,0.0,0.184,uniform
Bacillus weihenstephanensis,0.9975,0.0,0.0,0.308,uniform
Shewanella halifaxensis,0.9862,0.0,0.0,0.429,uniform
Methylobacterium sp,0.9918,0.0,0.0,0.427,uniform
Shewanella woodyi,0.9643,0.0,1e-05,0.297,uniform
Nostoc punctiforme,0.9894,0.0,0.0,0.054,uniform
Ralstonia pickettii,0.9976,0.0,0.0,0.054,uniform
Desulfobacterium autotrophicum,0.9973,0.0,0.0,0.272,uniform
Eubacterium rectale,0.9953,0.0,0.0,0.146,uniform
Haemophilus parasuis,0.985,0.0,0.0,0.198,uniform
Desulfatibacillum aliphaticivorans,0.9945,0.0,0.0,0.392,uniform
Clostridium cellulolyticum,0.9942,0.0,0.0,0.402,uniform
Methylobacterium nodulans,0.9899,0.0,0.0,0.42,uniform
Aggregatibacter aphrophilus,0.9885,0.0,0.0,0.042,uniform
Dyadobacter fermentans,0.7085,0.0,3e-05,0.141,uniform
Capnocytophaga ochracea,0.9981,0.0,0.0,0.046,uniform
Zunongwangia profunda,0.9518,0.0,0.0,0.14,uniform
Paenibacillus sp,0.9904,0.0,0.0,0.158,uniform
Pedobacter heparinus,0.9696,0.0,0.0,0.257,uniform
Leptotrichia buccalis,0.9952,0.0,0.0,0.025,uniform
Chitinophaga pinensis,0.9984,0.0,0.0,0.084,uniform
Catenulispora acidiphila,0.9458,0.0,1e-05,0.254,uniform
Desulfotomaculum acetoxidans,0.9923,0.0,0.0,0.419,uniform
Atopobium parvulum,0.9919,0.0,0.0,0.04,uniform
Aggregatibacter actinomycetemcomitans,0.993,0.0,0.0,0.304,uniform
Sebaldella termitidis,0.9937,0.0,0.0,0.172,uniform
Spirosoma linguale,0.8113,0.0,2e-05,0.188,uniform
