Species,r_value,p_value,stError,euclidean,distribution
Neisseria meningitidis,0.9925,0.0,0.0,0.027,uniform
Pasteurella multocida,0.9677,0.0,0.0,0.154,uniform
Neisseria gonorrhoeae,0.9816,0.0,0.0,0.005,uniform
Streptococcus pneumoniae,0.981,0.0,0.0,0.03,uniform
Streptococcus agalactiae,0.9901,0.0,0.0,0.456,uniform
Fusobacterium nucleatum,0.9918,0.0,0.0,0.005,uniform
Porphyromonas gingivalis,0.9895,0.0,0.0,0.064,uniform
Bacteroides thetaiotaomicron,0.9975,0.0,0.0,0.054,uniform
Leptospira interrogans,0.9453,0.0,1e-05,0.482,uniform
Mannheimia succiniciproducens,0.9954,0.0,0.0,0.2,uniform
Enterococcus faecalis,0.9817,0.0,0.0,0.213,uniform
Bacillus cereus,0.9994,0.0,0.0,0.3,uniform
Treponema denticola,0.9924,0.0,0.0,0.081,uniform
Bacteroides fragilis,0.9916,0.0,0.0,0.077,uniform
Brevibacillus brevis,0.8867,0.0,2e-05,0.406,uniform
Streptococcus intermedius,0.9978,0.0,0.0,0.095,uniform
Rothia mucilaginosa,0.9933,0.0,0.0,0.027,uniform
Winogradskyella sp,0.745,0.0,5e-05,0.48,uniform
Acinetobacter guillouiae,0.9945,0.0,0.0,0.352,uniform
Leptolyngbya boryana,0.9978,0.0,0.0,0.32,uniform
Geminocystis sp,0.9924,0.0,0.0,0.406,uniform
Fischerella sp,0.9965,0.0,0.0,0.439,uniform
Mucilaginibacter gotjawali,0.9899,0.0,0.0,0.338,uniform
Filimonas lacunae,0.9884,0.0,0.0,0.104,uniform
Actinomyces naeslundii,0.9895,0.0,0.0,0.011,uniform
Rothia aeria,0.996,0.0,0.0,0.024,uniform
Fusobacterium varium,0.9597,0.0,1e-05,0.314,uniform
Marinifilaceae bacterium,0.9865,0.0,0.0,0.277,uniform
Nostoc sp,0.9873,0.0,0.0,0.438,uniform
Streptococcus thermophilus,0.9918,0.0,0.0,0.244,uniform
Haemophilus influenzae,0.9727,0.0,0.0,0.034,uniform
Anabaena variabilis,0.9969,0.0,0.0,0.463,uniform
Bacteroides vulgatus,0.9907,0.0,0.0,0.118,uniform
Parabacteroides distasonis,0.994,0.0,0.0,0.133,uniform
Streptococcus sanguinis,0.9333,0.0,0.0,0.004,uniform
Pseudoalteromonas atlantica,0.9895,0.0,0.0,0.398,uniform
Trichodesmium erythraeum,0.9971,0.0,0.0,0.232,uniform
Streptococcus suis,0.9501,0.0,1e-05,0.191,uniform
Shewanella piezotolerans,0.9948,0.0,0.0,0.453,uniform
Actinobacillus pleuropneumoniae,0.9858,0.0,0.0,0.135,uniform
Flavobacterium johnsoniae,0.987,0.0,0.0,0.195,uniform
Clostridium beijerinckii,0.9916,0.0,0.0,0.194,uniform
Alkaliphilus metalliredigens,0.9874,0.0,0.0,0.386,uniform
Streptococcus gordonii,0.9539,0.0,0.0,0.009,uniform
Actinobacillus succinogenes,0.9949,0.0,0.0,0.364,uniform
Bacillus cytotoxicus,0.7127,0.0,4e-05,0.233,uniform
Campylobacter concisus,0.9926,0.0,0.0,0.038,uniform
Cyanothece sp,0.9876,0.0,0.0,0.435,uniform
Shewanella sediminis,0.948,0.0,1e-05,0.331,uniform
Acaryochloris marina,0.9888,0.0,0.0,0.317,uniform
Herpetosiphon aurantiacus,0.997,0.0,0.0,0.442,uniform
Lachnoclostridium phytofermentans,0.9957,0.0,0.0,0.318,uniform
Nostoc punctiforme,0.9953,0.0,0.0,0.126,uniform
Ralstonia pickettii,0.9879,0.0,0.0,0.087,uniform
Desulfobacterium autotrophicum,0.9775,0.0,0.0,0.438,uniform
Haemophilus parasuis,0.9985,0.0,0.0,0.257,uniform
Aggregatibacter aphrophilus,0.9908,0.0,0.0,0.027,uniform
Dyadobacter fermentans,0.9966,0.0,0.0,0.469,uniform
Capnocytophaga ochracea,0.9945,0.0,0.0,0.356,uniform
Zunongwangia profunda,0.9887,0.0,0.0,0.268,uniform
Paenibacillus sp,0.9941,0.0,0.0,0.299,uniform
Leptotrichia buccalis,0.9964,0.0,0.0,0.038,uniform
Chitinophaga pinensis,0.999,0.0,0.0,0.241,uniform
Atopobium parvulum,0.9891,0.0,0.0,0.034,uniform
Aggregatibacter actinomycetemcomitans,0.9864,0.0,0.0,0.011,uniform
Streptobacillus moniliformis,0.9975,0.0,0.0,0.49,uniform
Veillonella parvula,0.9907,0.0,0.0,0.03,uniform
Arcobacter nitrofigilis,0.9856,0.0,0.0,0.494,uniform
Prevotella ruminicola,0.9628,0.0,0.0,0.037,uniform
'Nostoc azollae',0.9722,0.0,0.0,0.401,uniform
Prevotella melaninogenica,0.9743,0.0,0.0,0.034,uniform
Clostridium cellulovorans,0.9962,0.0,0.0,0.286,uniform
Rothia dentocariosa,0.9936,0.0,0.0,0.025,uniform
Marivirga tractuosa,0.9965,0.0,0.0,0.488,uniform
Bacteroides helcogenes,0.9971,0.0,0.0,0.12,uniform
Filifactor alocis,0.988,0.0,0.0,0.17,uniform
Bacteroides salanitronis,0.99,0.0,0.0,0.057,uniform
Fluviicola taffensis,0.9913,0.0,0.0,0.328,uniform
Odoribacter splanchnicus,0.9962,0.0,0.0,0.185,uniform
Clostridium lentocellum,0.9897,0.0,0.0,0.311,uniform
Sphingobacterium sp,0.9908,0.0,0.0,0.451,uniform
Prevotella denticola,0.9721,0.0,0.0,0.021,uniform
Selenomonas sputigena,0.9926,0.0,0.0,0.193,uniform
Gallibacterium anatis,0.9959,0.0,0.0,0.235,uniform
Porphyromonas asaccharolytica,0.9784,0.0,0.0,0.084,uniform
Haliscomenobacter hydrossis,0.9692,0.0,0.0,0.202,uniform
