Species,r_value,p_value,stError,euclidean,distribution
Helicobacter pylori,0.9426,0.0,1e-05,0.365,uniform
Clostridium acetobutylicum,0.8538,0.0,0.0,0.01,uniform
Neisseria meningitidis,0.9608,0.0,1e-05,0.278,uniform
Xylella fastidiosa,0.9623,0.0,1e-05,0.356,uniform
Vibrio cholerae,0.8113,0.0,2e-05,0.128,uniform
Pseudomonas aeruginosa,0.9863,0.0,0.0,0.053,uniform
Streptococcus pyogenes,0.9665,0.0,0.0,0.054,uniform
Pasteurella multocida,0.9865,0.0,0.0,0.125,uniform
Neisseria gonorrhoeae,0.9716,0.0,1e-05,0.365,uniform
Lactococcus lactis,0.9687,0.0,0.0,0.026,uniform
Streptococcus pneumoniae,0.971,0.0,0.0,0.03,uniform
Caulobacter crescentus,0.9899,0.0,0.0,0.224,uniform
Shigella flexneri,0.899,0.0,1e-05,0.196,uniform
Salmonella enterica,0.9756,0.0,0.0,0.052,uniform
Chlorobium tepidum,0.8855,0.0,2e-05,0.468,uniform
Agrobacterium tumefaciens,0.8837,0.0,1e-05,0.224,uniform
Thermoanaerobacter tengcongensis,0.8938,0.0,1e-05,0.059,uniform
Zymomonas mobilis,0.917,0.0,1e-05,0.206,uniform
Xanthomonas campestris,0.9856,0.0,0.0,0.012,uniform
Streptococcus agalactiae,0.9541,0.0,0.0,0.046,uniform
Fusobacterium nucleatum,0.9843,0.0,0.0,0.028,uniform
Yersinia pestis,0.8969,0.0,1e-05,0.094,uniform
Xanthomonas oryzae,0.9354,0.0,1e-05,0.204,uniform
Streptococcus mutans,0.8959,0.0,1e-05,0.025,uniform
Bifidobacterium longum,0.8916,0.0,0.0,0.028,uniform
Shewanella oneidensis,0.9355,0.0,0.0,0.034,uniform
Pseudomonas putida,0.9223,0.0,1e-05,0.048,uniform
Porphyromonas gingivalis,0.9259,0.0,1e-05,0.051,uniform
Clostridium tetani,0.9211,0.0,0.0,0.017,uniform
Bacteroides thetaiotaomicron,0.9142,0.0,0.0,0.002,uniform
Staphylococcus epidermidis,0.9295,0.0,0.0,0.021,uniform
Leifsonia xyli,0.959,0.0,1e-05,0.402,uniform
Leptospira interrogans,0.9323,0.0,0.0,0.019,uniform
Chromobacterium violaceum,0.9468,0.0,1e-05,0.087,uniform
Mannheimia succiniciproducens,0.9543,0.0,1e-05,0.17,uniform
Coxiella burnetii,0.992,0.0,0.0,0.312,uniform
Enterococcus faecalis,0.9161,0.0,0.0,0.014,uniform
Pseudomonas syringae,0.8781,0.0,1e-05,0.039,uniform
Bacillus cereus,0.9645,0.0,0.0,0.013,uniform
Bacillus anthracis,0.9667,0.0,0.0,0.015,uniform
Mycobacterium avium,0.9967,0.0,0.0,0.16,uniform
Helicobacter hepaticus,0.9393,0.0,1e-05,0.12,uniform
Prochlorococcus marinus,0.8314,0.0,3e-05,0.251,uniform
Haemophilus ducreyi,0.912,0.0,1e-05,0.285,uniform
Geobacter sulfurreducens,0.9827,0.0,0.0,0.213,uniform
Lactobacillus johnsonii,0.867,0.0,1e-05,0.062,uniform
