Species,r_value,p_value,stError,euclidean,distribution
Clostridium acetobutylicum,0.9698,0.0,1e-05,0.297,uniform
Pseudomonas aeruginosa,0.6766,0.0,0.00014,0.306,uniform
Streptococcus pyogenes,0.6206,0.0,8e-05,0.23,uniform
Streptococcus pneumoniae,0.9841,0.0,0.0,0.03,uniform
Streptococcus agalactiae,0.8863,0.0,1e-05,0.229,uniform
Fusobacterium nucleatum,0.9756,0.0,0.0,0.005,uniform
Streptococcus mutans,0.9538,0.0,0.0,0.143,uniform
Bifidobacterium longum,0.9922,0.0,0.0,0.008,uniform
Bacteroides thetaiotaomicron,0.9271,0.0,0.0,0.044,uniform
Enterococcus faecalis,0.993,0.0,0.0,0.24,uniform
Bacillus cereus,0.7874,0.0,2e-05,0.197,uniform
Bacillus anthracis,0.9411,0.0,1e-05,0.224,uniform
Bacillus thuringiensis,0.8041,0.0,3e-05,0.468,uniform
Staphylococcus aureus,0.7794,0.0,3e-05,0.357,uniform
Saccharopolyspora erythraea,0.9413,0.0,1e-05,0.152,uniform
Sorangium cellulosum,0.9378,0.0,1e-05,0.082,uniform
Proteus mirabilis,0.9754,0.0,0.0,0.402,uniform
Bacillus clausii,0.9984,0.0,0.0,0.442,uniform
Bacteroides fragilis,0.917,0.0,1e-05,0.097,uniform
Lactobacillus reuteri,0.924,0.0,1e-05,0.246,uniform
Desulfitobacterium hafniense,0.9533,0.0,1e-05,0.36,uniform
Brevibacillus brevis,0.9155,0.0,2e-05,0.302,uniform
Rhodococcus erythropolis,0.8896,0.0,2e-05,0.393,uniform
Clostridium kluyveri,0.8931,0.0,2e-05,0.283,uniform
Streptomyces griseus,0.996,0.0,0.0,0.314,uniform
Microcystis aeruginosa,0.9844,0.0,0.0,0.438,uniform
Streptococcus dysgalactiae,0.8441,0.0,3e-05,0.46,uniform
Kitasatospora setae,0.9177,0.0,1e-05,0.105,uniform
Streptococcus intermedius,0.8374,0.0,1e-05,0.041,uniform
Rhodococcus opacus,0.9869,0.0,0.0,0.25,uniform
Rothia mucilaginosa,0.9517,0.0,0.0,0.028,uniform
Arcobacter sp,0.8407,0.0,2e-05,0.255,uniform
Amphibacillus xylanus,0.6925,0.0,0.00011,0.35,uniform
Streptococcus pasteurianus,0.9095,0.0,2e-05,0.361,uniform
Solibacillus silvestris,0.9779,0.0,1e-05,0.346,uniform
Microlunatus phosphovorus,0.872,0.0,3e-05,0.348,uniform
Bradyrhizobium japonicum,0.9535,0.0,1e-05,0.233,uniform
Actinoplanes missouriensis,0.8365,0.0,2e-05,0.256,uniform
Bifidobacterium scardovii,0.7759,0.0,4e-05,0.443,uniform
Scardovia inopinata,0.9441,0.0,1e-05,0.368,uniform
Bradyrhizobium oligotrophicum,0.9185,0.0,3e-05,0.44,uniform
Enterococcus mundtii,0.9597,0.0,1e-05,0.333,uniform
Pseudomonas resinovorans,0.8935,0.0,3e-05,0.47,uniform
Winogradskyella sp,0.9893,0.0,0.0,0.399,uniform
Streptococcus troglodytae,0.9511,0.0,1e-05,0.435,uniform
