Species,r_value,p_value,stError,euclidean,distribution
Neisseria meningitidis,0.9887,0.0,0.0,0.006,uniform
Neisseria gonorrhoeae,0.9753,0.0,0.0,0.009,uniform
Streptococcus pneumoniae,0.9891,0.0,0.0,0.029,uniform
Fusobacterium nucleatum,0.9942,0.0,0.0,0.02,uniform
Streptococcus intermedius,0.9933,0.0,0.0,0.027,uniform
Rothia mucilaginosa,0.9913,0.0,0.0,0.028,uniform
Rubrivivax gelatinosus,0.9829,0.0,0.0,0.494,uniform
Actinomyces naeslundii,0.9971,0.0,0.0,0.367,uniform
Rothia aeria,0.9882,0.0,0.0,0.024,uniform
Streptococcus thermophilus,0.9773,0.0,0.0,0.284,uniform
Haemophilus influenzae,0.9835,0.0,0.0,0.012,uniform
Streptococcus sanguinis,0.9921,0.0,0.0,0.026,uniform
Streptococcus gordonii,0.9893,0.0,0.0,0.021,uniform
Campylobacter concisus,0.9912,0.0,0.0,0.095,uniform
Ralstonia pickettii,0.9973,0.0,0.0,0.214,uniform
Aggregatibacter aphrophilus,0.9905,0.0,0.0,0.092,uniform
Leptotrichia buccalis,0.9889,0.0,0.0,0.088,uniform
Veillonella parvula,0.9886,0.0,0.0,0.03,uniform
Prevotella ruminicola,0.9684,0.0,1e-05,0.416,uniform
Prevotella melaninogenica,0.9868,0.0,0.0,0.035,uniform
Rothia dentocariosa,0.9867,0.0,0.0,0.025,uniform
Prevotella denticola,0.9935,0.0,0.0,0.008,uniform
Pseudopropionibacterium propionicum,0.9647,0.0,0.0,0.067,uniform
Streptococcus parasanguinis,0.9896,0.0,0.0,0.029,uniform
Streptococcus pseudopneumoniae,0.9856,0.0,0.0,0.028,uniform
Streptococcus constellatus,0.9889,0.0,0.0,0.217,uniform
Streptococcus anginosus,0.9927,0.0,0.0,0.107,uniform
Streptococcus cristatus,0.973,0.0,0.0,0.011,uniform
Mannheimia haemolytica,0.9858,0.0,0.0,0.364,uniform
Streptococcus sp,0.9856,0.0,0.0,0.009,uniform
Mannheimia sp,0.966,0.0,1e-05,0.34,uniform
Achromobacter xylosoxidans,0.9903,0.0,0.0,0.361,uniform
Actinobacillus equuli,0.9914,0.0,0.0,0.459,uniform
Neisseria elongata,0.993,0.0,0.0,0.027,uniform
Actinobacillus suis,0.9685,0.0,1e-05,0.387,uniform
Parvimonas micra,0.9898,0.0,0.0,0.126,uniform
Polyangium brachysporum,0.9977,0.0,0.0,0.41,uniform
Ottowia sp,0.9966,0.0,0.0,0.306,uniform
Prevotella fusca,0.9733,0.0,0.0,0.227,uniform
Leptotrichia sp,0.9694,0.0,0.0,0.184,uniform
Prevotella enoeca,0.9818,0.0,0.0,0.009,uniform
Fusobacterium hwasookii,0.9767,0.0,0.0,0.048,uniform
Actinomyces oris,0.9964,0.0,0.0,0.268,uniform
Gemella sp,0.9849,0.0,0.0,0.011,uniform
Rhizobacter gummiphilus,0.9954,0.0,0.0,0.493,uniform
Tannerella sp,0.9951,0.0,0.0,0.325,uniform
Massilia putida,0.9896,0.0,0.0,0.468,uniform
Streptococcus equinus,0.9956,0.0,0.0,0.07,uniform
Neisseria mucosa,0.9811,0.0,0.0,0.022,uniform
Veillonella atypica,0.9915,0.0,0.0,0.03,uniform
Neisseria sp,0.9791,0.0,0.0,0.007,uniform
Capnocytophaga leadbetteri,0.9913,0.0,0.0,0.068,uniform
Capnocytophaga sputigena,0.9921,0.0,0.0,0.107,uniform
Capnocytophaga gingivalis,0.9972,0.0,0.0,0.111,uniform
Variovorax boronicumulans,0.9877,0.0,0.0,0.458,uniform
Prevotella jejuni,0.9874,0.0,0.0,0.026,uniform
Fusobacterium periodonticum,0.9874,0.0,0.0,0.01,uniform
Streptococcus mitis,0.9811,0.0,0.0,0.03,uniform
Neisseria lactamica,0.9872,0.0,0.0,0.005,uniform
Haemophilus parainfluenzae,0.983,0.0,0.0,0.03,uniform
Streptococcus oralis,0.9934,0.0,0.0,0.033,uniform
Streptococcus salivarius,0.9908,0.0,0.0,0.05,uniform
Kingella kingae,0.9945,0.0,0.0,0.452,uniform
